Country name,Regional indicator,Ladder score,lLadder score),upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster,Region_Central and Eastern Europe,Region_Commonwealth of Independent States,Region_East Asia,Region_Latin America and Caribbean,Region_Middle East and North Africa,Region_North America and ANZ,Region_South Asia,Region_Southeast Asia,Region_Sub-Saharan Africa,Region_Western Europe
Romania,Central and Eastern Europe,6.491,0.812311609,6.592,6.39,1.699,1.236,0.092018471,0.583,-0.234331445,0.717,0.234770295,0.041,0.01745073,0.006,0.002597981,2.21,0,1,0,0,0,0,0,0,0,0,0
El Salvador,Latin America and Caribbean,6.469,0.810837151,6.599,6.338,1.265,1.08,0.033423755,0.549,-0.260427656,0.816,0.259115844,0.083,0.034628457,0.253,0.097951071,2.424,0,0,0,0,1,0,0,0,0,0,0
Poland,Central and Eastern Europe,6.442,0.80902072,6.513,6.37,1.738,1.417,0.15136985,0.639,-0.194499142,0.6,0.204119983,0.081,0.033825694,0.175,0.070037867,1.791,0,1,0,0,0,0,0,0,0,0,0
Spain,Western Europe,6.421,0.80760267,6.502,6.339,1.766,1.471,0.167612673,0.729,-0.137272472,0.619,0.209246849,0.119,0.048830087,0.177,0.070776463,1.54,0,0,0,0,0,0,0,0,0,0,1
Serbia,Central and Eastern Europe,6.411,0.806925777,6.522,6.3,1.538,1.391,0.14332713,0.585,-0.232844134,0.663,0.220892249,0.2,0.079181246,0.101,0.041787319,1.932,0,1,0,0,0,0,0,0,0,0,0
Chile,Latin America and Caribbean,6.36,0.803457116,6.448,6.273,1.616,1.369,0.136403448,0.673,-0.171984936,0.651,0.217747073,0.117,0.048053173,0.075,0.031408464,1.858,0,0,0,0,1,0,0,0,0,0,0
Panama,Latin America and Caribbean,6.358,0.803320524,6.489,6.227,1.702,1.392,0.143639235,0.633,-0.19859629,0.72,0.235528447,0.063,0.026533265,0.043,0.018284308,1.806,0,0,0,0,1,0,0,0,0,0,0
Malta,Western Europe,6.346,0.802500068,6.43,6.261,1.827,1.444,0.159567193,0.707,-0.150580586,0.727,0.237292338,0.25,0.096910013,0.125,0.051152522,1.267,0,0,0,0,0,0,0,0,0,0,1
Italy,Western Europe,6.324,0.800991861,6.436,6.211,1.8,1.328,0.123198075,0.72,-0.142667504,0.513,0.179838928,0.112,0.046104787,0.074,0.031004281,1.777,0,0,0,0,0,0,0,0,0,0,1
Guatemala,Latin America and Caribbean,6.287,0.79844346,6.457,6.117,1.26,1.169,0.067814511,0.467,-0.330683119,0.735,0.239299479,0.105,0.043362278,0.078,0.032618761,2.473,0,0,0,0,1,0,0,0,0,0,0
