Country name,Regional indicator,Ladder score,lLadder score),upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster
Dominican Republic,Latin America and Caribbean,5.823,1.761815593,5.967,5.679,1.517,1.272,0.240590465,0.511,-0.671385689,0.73,0.548121409,0.086,-2.453407983,0.196,0.178982656,1.512,0
Mauritius,Sub-Saharan Africa,5.816,1.76061274,5.927,5.706,1.57,1.358,0.306013029,0.49,-0.713349888,0.641,0.495305812,0.123,-2.095570924,0.118,0.111541375,1.517,0
Moldova,Commonwealth of Independent States,5.816,1.76061274,5.93,5.702,1.385,1.277,0.244513577,0.542,-0.612489278,0.695,0.527682741,0.077,-2.563949857,0.044,0.043059489,1.795,0
Russia,Commonwealth of Independent States,5.785,1.755268361,5.859,5.712,1.642,1.351,0.300845059,0.531,-0.632993258,0.551,0.438899884,0.138,-1.980501594,0.121,0.114221144,1.451,0
Bolivia,Latin America and Caribbean,5.784,1.755095485,5.895,5.674,1.217,1.179,0.164666622,0.488,-0.717439873,0.719,0.541742726,0.1,-2.302585093,0.061,0.05921186,2.02,0
Ecuador,Latin America and Caribbean,5.725,1.744842549,5.85,5.599,1.315,1.151,0.14063113,0.64,-0.446287103,0.606,0.473746616,0.087,-2.44184716,0.078,0.075107472,1.846,0
Kyrgyzstan,Commonwealth of Independent States,5.714,1.742919304,5.795,5.632,1.054,1.477,0.390013004,0.588,-0.531028331,0.834,0.606499374,0.225,-1.491654877,0.03,0.029558802,1.505,0
Montenegro,Central and Eastern Europe,5.707,1.741693492,5.815,5.599,1.571,1.318,0.276115436,0.587,-0.532730459,0.632,0.489806257,0.11,-2.207274913,0.132,0.12398598,1.357,0
Mongolia,East Asia,5.696,1.739764174,5.783,5.61,1.353,1.511,0.412771683,0.4,-0.916290732,0.501,0.406131553,0.237,-1.439695138,0.055,0.053540767,1.64,0
Colombia,Latin America and Caribbean,5.695,1.739588597,5.806,5.584,1.437,1.241,0.215917506,0.648,-0.433864583,0.644,0.497132297,0.072,-2.63108916,0.059,0.057325067,1.596,0
Indonesia,Southeast Asia,5.568,1.717035923,5.67,5.466,1.361,1.184,0.168898536,0.472,-0.750776293,0.779,0.576051409,0.399,-0.918793862,0.055,0.053540767,1.318,0
Bulgaria,Central and Eastern Europe,5.463,1.697998089,5.569,5.357,1.629,1.469,0.384581897,0.567,-0.567395975,0.62,0.482426149,0.083,-2.488914671,0.006,0.005982072,1.088,0
Armenia,Commonwealth of Independent States,5.455,1.696532619,5.56,5.35,1.444,1.154,0.143234168,0.603,-0.505838082,0.65,0.500775288,0.051,-2.975929646,0.173,0.15956457,1.379,0
South Africa,Sub-Saharan Africa,5.422,1.690464751,5.549,5.295,1.389,1.369,0.314080546,0.322,-1.133203733,0.537,0.429832465,0.078,-2.551046452,0.034,0.033434776,1.693,0
North Macedonia,Central and Eastern Europe,5.369,1.680641671,5.468,5.27,1.475,1.277,0.244513577,0.569,-0.563874845,0.58,0.457424847,0.194,-1.63989712,0.015,0.014888612,1.26,0
Albania,Central and Eastern Europe,5.304,1.668461253,5.44,5.168,1.438,0.924,-0.079043207,0.638,-0.449416996,0.69,0.524728529,0.138,-1.980501594,0.049,0.047837329,1.428,0
Georgia,Commonwealth of Independent States,5.185,1.645769842,5.283,5.087,1.467,0.99,-0.010050336,0.524,-0.646263595,0.68,0.518793793,0,#NUM!,0.174,0.160416721,1.349,0
Turkiye,Middle East and North Africa,4.975,1.604425371,5.085,4.866,1.702,1.175,0.161268148,0.631,-0.460449416,0.202,0.183986836,0.068,-2.688247574,0.115,0.108854405,1.083,0
Ukraine,Commonwealth of Independent States,4.873,1.583709764,4.988,4.758,1.35,1.315,0.273836666,0.513,-0.667479434,0.631,0.489193324,0.285,-1.255266099,0.025,0.024692613,0.753,0
Sri Lanka,South Asia,3.898,1.360463601,4.018,3.778,1.361,1.179,0.164666622,0.586,-0.534435489,0.583,0.459321781,0.144,-1.937941979,0.031,0.030529205,0.014,0
